"collection","source_id","catalog_artist","catalog_title","format_group","bandcamp_status","bandcamp_url","bandcamp_album_id","bandcamp_embed_url","bandcamp_page_title","tidal_status","tidal_url","tidal_page_title","tidal_discovery_url","tidal_lookup_url","identity_evidence_url","checked_at","notes"
"distro","anima-triste-humanity-cd","Anima Triste","Humanity","CDs","verified","https://animatriste.bandcamp.com/album/humanity","4231388825","https://bandcamp.com/EmbeddedPlayer/album=4231388825/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Humanity | Anima Triste","verified","https://tidal.com/album/299601026","Humanity by Anima Triste on TIDAL","https://album.link/i/1692314629","https://itunes.apple.com/search?term=Anima+Triste&entity=album&limit=200&country=GR","https://animatriste.bandcamp.com/album/humanity","2026-09-22",""
"distro","atopia-atopia-cd","Ατοπια","Ατοπια","CDs","unresolved","","","","","unverified","","","","https://itunes.apple.com/search?term=%CE%91%CF%84%CE%BF%CF%80%CE%B9%CE%B1&entity=album&limit=200&country=GR","https://atopia2012.blogspot.com/2012/12/2012-atopia-self-titled-2012-01.html","2026-09-22","Official artist blog identifies the 2012 Greek self-titled release. No exact Bandcamp or Tidal album was verified; reject other artists named Atopia."
"distro","aufhebung-luchtbegrafenis-vinyl","Aufhebung","Luchtbegrafenis","Vinyl 12-inch","verified","https://aufhebung.bandcamp.com/album/luchtbegrafenis","3913189484","https://bandcamp.com/EmbeddedPlayer/album=3913189484/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Luchtbegrafenis | Aufhebung","verified","https://tidal.com/album/495184986","Luchtbegrafenis by Aufhebung on TIDAL","https://album.link/i/1873916637","https://itunes.apple.com/search?term=Aufhebung&entity=album&limit=200&country=GR","https://aufhebung.bandcamp.com/album/luchtbegrafenis","2026-09-22",""
"distro","band-in-the-pit-2016-cassette","Band in the pit","2016","Tapes","verified","https://bandinthepit.bandcamp.com/album/2016","4217769213","https://bandcamp.com/EmbeddedPlayer/album=4217769213/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","2016 | Band In The Pit","verified","https://tidal.com/album/124018233","2016 by Band in the Pit on TIDAL","https://album.link/i/1489991072","https://itunes.apple.com/search?term=Band+In+The+Pit&entity=album&limit=200&country=GR","https://bandinthepit.bandcamp.com/album/2016","2026-09-22",""
"distro","barren-point","Mass Culture","Barren Point","Vinyl 12-inch","verified","https://massculture.bandcamp.com/album/barren-point-2","710431064","https://bandcamp.com/EmbeddedPlayer/album=710431064/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Barren Point | Μass Culture | Mass Culture","unverified","","","","https://itunes.apple.com/search?term=%CE%9Cass+Culture&entity=album&limit=200&country=GR","https://massculture.bandcamp.com/album/barren-point-2","2026-09-22","Provider uses a Greek capital Mu in Μass Culture. This is Barren Point, not Afterwise — Disintegration."
"distro","big-fish","Sadhus, The Smoking Community","Big Fish","Vinyl 12-inch","verified","https://sadhus.bandcamp.com/album/big-fish","345616547","https://bandcamp.com/EmbeddedPlayer/album=345616547/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Big Fish | Sadhus, The Smoking Community","unverified","","","","https://itunes.apple.com/search?term=Sadhus%2C+The+Smoking+Community&entity=album&limit=200&country=GR","https://sadhus.bandcamp.com/album/big-fish","2026-09-22",""
"distro","bipolar-architecture-depressionland-vinyl","Bipolar Architecture","Depressionland","Vinyl 12-inch","verified","https://bipolararchitecture.bandcamp.com/album/depressionland","4283560819","https://bandcamp.com/EmbeddedPlayer/album=4283560819/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Depressionland | Bipolar Architecture","verified","https://tidal.com/album/229835742","Depressionland by Bipolar Architecture on TIDAL","https://album.link/i/1624944914","https://itunes.apple.com/search?term=Bipolar+Architecture&entity=album&limit=200&country=GR","https://bipolararchitecture.bandcamp.com/album/depressionland","2026-09-22",""
"distro","blame-the-trees-synapses-cd","Blame the trees","Synapses","CDs","verified","https://blamethetrees.bandcamp.com/album/synapses","303726432","https://bandcamp.com/EmbeddedPlayer/album=303726432/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Synapses | Blame the Trees","unverified","","","","https://itunes.apple.com/search?term=Blame+the+Trees&entity=album&limit=200&country=GR","https://blamethetrees.bandcamp.com/album/synapses","2026-09-22",""
"distro","bloed-tranen","Bloed","Tranen","Vinyl 12-inch","verified","https://bloedband.bandcamp.com/album/tranen","1169394221","https://bandcamp.com/EmbeddedPlayer/album=1169394221/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Tranen | Bloed","unverified","","","","https://itunes.apple.com/search?term=Bloed&entity=album&limit=200&country=GR","https://bloedband.bandcamp.com/album/tranen","2026-09-22",""
"distro","broken-fingers-ego-cassette","Broken Fingers","Ego","Tapes","verified","https://broken-fingers.bandcamp.com/album/ego","2073516068","https://bandcamp.com/EmbeddedPlayer/album=2073516068/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","EGO | Broken Fingers","verified","https://tidal.com/album/123710326","EGO by Broken Fingers on TIDAL","https://album.link/i/1489412003","https://itunes.apple.com/search?term=Broken+Fingers&entity=album&limit=200&country=GR","https://broken-fingers.bandcamp.com/album/ego","2026-09-22",""
"distro","calf-vinyl-10-inch","Calf","—","Vinyl 10-inch","verified","https://calfgreece.bandcamp.com/album/-","3011091146","https://bandcamp.com/EmbeddedPlayer/album=3011091146/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","___ | Calf","unverified","","","","https://itunes.apple.com/search?term=Calf&entity=album&limit=200&country=GR","https://calfgreece.bandcamp.com/album/-","2026-09-22","Official Bandcamp identifies the three-track ___ 10-inch. Matches the existing dash-titled Calf item; retain source ID."
"distro","celuta-red-agia-monaxia-escape-the-blaze-only-to-find-another-vinyl","Celuta Red, Agia Monaxia","Escape the Blaze only to find another","Vinyl 12-inch","verified","https://agiamonaxia.bandcamp.com/album/escape-the-blaze-only-to-find-another","2497642536","https://bandcamp.com/EmbeddedPlayer/album=2497642536/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","escape the blaze, only to find another | Celuta Red, Agia Monaxia | Agia Monaxia","unverified","","","","https://itunes.apple.com/search?term=Celuta+Red%2C+Agia+Monaxia&entity=album&limit=200&country=GR","https://agiamonaxia.bandcamp.com/album/escape-the-blaze-only-to-find-another","2026-09-22",""
"distro","celuta-red-amoeba-cd","Celuta Red","Amoeba","CDs","verified","https://celutared.bandcamp.com/album/amoeba","4009655833","https://bandcamp.com/EmbeddedPlayer/album=4009655833/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Amoeba | Celuta Red","unverified","","","","https://itunes.apple.com/search?term=Celuta+Red&entity=album&limit=200&country=GR","https://celutared.bandcamp.com/album/amoeba","2026-09-22",""
"distro","celuta-red-idle-frenzy-cd","Celuta Red","Idle Frenzy","CDs","verified","https://celutared.bandcamp.com/album/idle-frenzy","2862293401","https://bandcamp.com/EmbeddedPlayer/album=2862293401/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Idle Frenzy | Celuta Red","unverified","","","","https://itunes.apple.com/search?term=Celuta+Red&entity=album&limit=200&country=GR","https://celutared.bandcamp.com/album/idle-frenzy","2026-09-22",""
"distro","cisnienie-angry-noises-vinyl","Ciśnienie","Angry Noises","Vinyl 12-inch","verified","https://cisnienie.bandcamp.com/album/angry-noises","3976455635","https://bandcamp.com/EmbeddedPlayer/album=3976455635/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","[angry noises] | Ciśnienie","verified","https://tidal.com/album/461554689","(angry noises) by Ciśnienie on TIDAL","https://album.link/i/1841050807","https://itunes.apple.com/search?term=Ci%C5%9Bnienie&entity=album&limit=200&country=GR","https://cisnienie.bandcamp.com/album/angry-noises","2026-09-22",""
"distro","coyotes-arrow-medicine-vinyl","Coyotes Arrow","Medicine","Vinyl 12-inch","verified","https://coyotesarrow.bandcamp.com/album/medicine-2","2343701357","https://bandcamp.com/EmbeddedPlayer/album=2343701357/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","''Medicine'' | coyote's arrow | Coyote's Arrow","unverified","","","","https://itunes.apple.com/search?term=coyote%27s+arrow&entity=album&limit=200&country=GR","https://coyotesarrow.bandcamp.com/album/medicine-2","2026-09-22",""
"distro","crawl-eat-them-dead-or-alive-split-7","Zebu / Dead Elephant ","Crawl / Eat Them Dead Or Alive, Split 7""","Vinyl 7-inch","verified","https://zebunoise.bandcamp.com/album/crawl-eat-them-dead-or-alive","4259055162","https://bandcamp.com/EmbeddedPlayer/album=4259055162/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Crawl / Eat Them Dead Or Alive | Zebu / Dead Elephant | Zebu","unverified","","","","https://itunes.apple.com/search?term=Zebu+%2F+Dead+Elephant&entity=album&limit=200&country=GR","https://zebunoise.bandcamp.com/album/crawl-eat-them-dead-or-alive","2026-09-22",""
"distro","dead-elephant-heavy-huge-and-rotten-cd","Dead Elephant","Heavy Huge and Rotten","CDs","verified","https://deadelephant.bandcamp.com/album/heavy-huge-and-rotten","2631004761","https://bandcamp.com/EmbeddedPlayer/album=2631004761/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Heavy, Huge and Rotten | Dead Elephant","unverified","","","","https://itunes.apple.com/search?term=Dead+Elephant&entity=album&limit=200&country=GR","https://deadelephant.bandcamp.com/album/heavy-huge-and-rotten","2026-09-22",""
"distro","dead-flag-blues-traumatique-cd","Dead Flag Blues","Traumatique","CDs","verified","https://deadflagblues.bandcamp.com/album/traumatique","3167373157","https://bandcamp.com/EmbeddedPlayer/album=3167373157/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Traumatique | Dead Flag Blues","unverified","","","","https://itunes.apple.com/search?term=Dead+Flag+Blues&entity=album&limit=200&country=GR","https://deadflagblues.bandcamp.com/album/traumatique","2026-09-22",""
"distro","deus-x-machina-time-expires-cd","Deus X Machina","Time Expires","CDs","unresolved","","","","","unverified","","","","https://itunes.apple.com/search?term=Deus+X+Machina&entity=album&limit=200&country=GR","https://www.thelabtshirtathens.com/product/deus-ex-machina-time-expires-cd-2/","2026-09-22","The Lab listing identifies the Greek Deus Ex Machina EP. No exact Bandcamp/Tidal release verified; reject other artists named Deus Ex Machina."
"distro","devided-light-will-shine-vinyl","Devided","Light will shine","Vinyl 12-inch","verified","https://dividedbelgium.bandcamp.com/album/light-will-shine","1120277928","https://bandcamp.com/EmbeddedPlayer/album=1120277928/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Light Will Shine | Divided","unverified","","","","https://itunes.apple.com/search?term=Divided&entity=album&limit=200&country=GR","https://dividedbelgium.bandcamp.com/album/light-will-shine","2026-09-22","Official artist spelling is Divided; retained existing content ID."
"distro","dirty-ol-dogs-dirty-ol-dogs-cd","Dirty ol' dogs","Dirty ol' dogs","CDs","verified","https://dirtyoldogs.bandcamp.com/album/dirty-ol-dogs","3197892882","https://bandcamp.com/EmbeddedPlayer/album=3197892882/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Dirty Ol' Dogs | Dirty Ol' Dogs","unverified","","","","https://itunes.apple.com/search?term=Dirty+Ol%27+Dogs&entity=album&limit=200&country=GR","https://dirtyoldogs.bandcamp.com/album/dirty-ol-dogs","2026-09-22",""
"distro","endless-searcher","Maha Sohona","Endless Searcher","Vinyl 12-inch","verified","https://oldemagickrecords.bandcamp.com/album/maha-sohona-endless-searcher","4152139746","https://bandcamp.com/EmbeddedPlayer/album=4152139746/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Maha Sohona - Endless Searcher | Olde Magick Records","unverified","","","","https://itunes.apple.com/search?term=Olde+Magick+Records&entity=album&limit=200&country=GR","https://oldemagickrecords.bandcamp.com/album/maha-sohona-endless-searcher","2026-09-22","Official Olde Magick Records Bandcamp hosts Maha Sohona — Endless Searcher."
"distro","frakhtal-plima-cd","Frakhtal","plima","CDs","verified","https://frakhtal.bandcamp.com/album/plima","3550573197","https://bandcamp.com/EmbeddedPlayer/album=3550573197/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Plima | Frakhtal","verified","https://tidal.com/album/224306899","Plima by Frakhtal on TIDAL","https://album.link/i/1618512755","https://itunes.apple.com/search?term=Frakhtal&entity=album&limit=200&country=GR","https://frakhtal.bandcamp.com/album/plima","2026-09-22",""
"distro","from-another-mother-atatoa-cd","From Another Mother","ATATOA","CDs","verified","https://kapitaenplatte.bandcamp.com/album/from-another-mother-atatoa","1511688225","https://bandcamp.com/EmbeddedPlayer/album=1511688225/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","From Another Mother - ATATOA | From Another Mother | Kapitaen Platte","verified","https://tidal.com/album/229122317","ATATOA by From Another Mother on TIDAL","https://album.link/i/1625906316","https://itunes.apple.com/search?term=From+Another+Mother&entity=album&limit=200&country=GR","https://kapitaenplatte.bandcamp.com/album/from-another-mother-atatoa","2026-09-22",""
"distro","from-another-mother-atatoa-vinyl","From Another Mother","ATATOA","Vinyl 12-inch","verified","https://kapitaenplatte.bandcamp.com/album/from-another-mother-atatoa","1511688225","https://bandcamp.com/EmbeddedPlayer/album=1511688225/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","From Another Mother - ATATOA | From Another Mother | Kapitaen Platte","verified","https://tidal.com/album/229122317","ATATOA by From Another Mother on TIDAL","https://album.link/i/1625906316","https://itunes.apple.com/search?term=From+Another+Mother&entity=album&limit=200&country=GR","https://kapitaenplatte.bandcamp.com/album/from-another-mother-atatoa","2026-09-22",""
"distro","full-moon-bonzai-reshaping-the-symbols-cd","Full Moon Bonzai","Reshaping the symbols","CDs","verified","https://fullmoonbongzai.bandcamp.com/album/reshaping-the-symbols","906177983","https://bandcamp.com/EmbeddedPlayer/album=906177983/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Reshaping The Symbols | Fullmoon Bongzai","unverified","","","","https://itunes.apple.com/search?term=Fullmoon+Bongzai&entity=album&limit=200&country=GR","https://fullmoonbongzai.bandcamp.com/album/reshaping-the-symbols","2026-09-22","Official artist spelling is Fullmoon Bongzai; retained existing content ID."
"distro","granna-s-house-kuro-cd","Granna's House","Kuro","CDs","verified","https://grannyshouse.bandcamp.com/album/kuro","1028031591","https://bandcamp.com/EmbeddedPlayer/album=1028031591/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","KURO | GRANNY'S HOUSE","verified","https://tidal.com/album/300461323","KURO by Granny's House on TIDAL","https://album.link/i/1693088764","https://itunes.apple.com/search?term=GRANNY%27S+HOUSE&entity=album&limit=200&country=GR","https://grannyshouse.bandcamp.com/album/kuro","2026-09-22","Official artist spelling is Granny's House; retained existing content ID."
"distro","gun-fever-no-easy-way-vinyl","Gun Fever","No easy Way","Vinyl 12-inch","verified","https://gunfeverath.bandcamp.com/album/no-easy-way","942314906","https://bandcamp.com/EmbeddedPlayer/album=942314906/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","No Easy Way | Gun Fever","unverified","","","","https://itunes.apple.com/search?term=Gun+Fever&entity=album&limit=200&country=GR","https://gunfeverath.bandcamp.com/album/no-easy-way","2026-09-22",""
"distro","hedvika-the-evidence-of-absence-cd","Hedvika","The evidence of Absence","CDs","verified","https://hedvikamusic.bandcamp.com/album/the-evidence-of-absence","2649045263","https://bandcamp.com/EmbeddedPlayer/album=2649045263/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","The Evidence Of Absence | Hedvika","verified","https://tidal.com/album/154919538","The Evidence of Absence by Hedvika on TIDAL","https://album.link/i/1531407416","https://itunes.apple.com/search?term=Hedvika&entity=album&limit=200&country=GR","https://hedvikamusic.bandcamp.com/album/the-evidence-of-absence","2026-09-22",""
"distro","hey-stealthy-hey-stealthy-cd","Hey Stealthy","Hey Stealthy","CDs","verified","https://haystealthy.bandcamp.com/album/hay-stealthy","108212130","https://bandcamp.com/EmbeddedPlayer/album=108212130/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Hay Stealthy | Hay Stealthy","verified","https://tidal.com/album/399171315","Hay Stealthy by Hay Stealthy on TIDAL","https://album.link/i/1779420515","https://itunes.apple.com/search?term=Hay+Stealthy&entity=album&limit=200&country=GR","https://haystealthy.bandcamp.com/album/hay-stealthy","2026-09-22","Official artist/title spelling is Hay Stealthy. Retain existing content ID; both provider pages match."
"distro","huracan-2025-ep-vinyl","Huracan","2025 EP","Vinyl 12-inch","verified","https://huracantheband.bandcamp.com/album/2025","877737316","https://bandcamp.com/EmbeddedPlayer/album=877737316/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","2025 | Huracan","unverified","","","","https://itunes.apple.com/search?term=Huracan&entity=album&limit=200&country=GR","https://huracantheband.bandcamp.com/album/2025","2026-09-22",""
"distro","in-your-absence","we.own.the.sky","In Your Absence","Vinyl 12-inch","verified","https://weownthesky.bandcamp.com/album/in-your-absence","2684960285","https://bandcamp.com/EmbeddedPlayer/album=2684960285/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","In Your Absence | we.own.the.sky","verified","https://tidal.com/album/447586281","In Your Absence by we.own.the.sky on TIDAL","https://album.link/i/1826371836","https://itunes.apple.com/search?term=we.own.the.sky&entity=album&limit=200&country=GR","https://weownthesky.bandcamp.com/album/in-your-absence","2026-09-22",""
"distro","kokomo-whip-vinyl","Kokomo","Whip","Vinyl 12-inch","verified","https://kokomoband.bandcamp.com/album/whip","1799082453","https://bandcamp.com/EmbeddedPlayer/album=1799082453/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Whip | kokomo","verified","https://tidal.com/album/523522643","Whip by Kokomo on TIDAL","https://album.link/i/6769497994","https://itunes.apple.com/search?term=kokomo&entity=album&limit=200&country=GR","https://kokomoband.bandcamp.com/album/whip","2026-09-22",""
"distro","krav-boca-sanatorium-cd","Krav Boca","Sanatorium","CDs","verified","https://kravboca.bandcamp.com/album/sanatorium-r-dition","3965682816","https://bandcamp.com/EmbeddedPlayer/album=3965682816/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Sanatorium - Réédition | Krav Boca","unverified","","","","https://itunes.apple.com/search?term=Krav+Boca&entity=album&limit=200&country=GR","https://kravboca.bandcamp.com/album/sanatorium-r-dition","2026-09-22",""
"distro","living-under-drones-knot-on-knot-vinyl","Living Under Drones","Knot On Knot","Vinyl 12-inch","verified","https://fonoradar.bandcamp.com/album/living-under-drones-knot-on-knot","1384092087","https://bandcamp.com/EmbeddedPlayer/album=1384092087/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","LIVING UNDER DRONES - Knot on Knot | FONORADAR","unverified","","","","https://itunes.apple.com/search?term=FONORADAR&entity=album&limit=200&country=GR","https://fonoradar.bandcamp.com/album/living-under-drones-knot-on-knot","2026-09-22","Official FONORADAR label Bandcamp hosts Living Under Drones — Knot on Knot."
"distro","magic-sleazeball-corrida","Skinny Peachfuzz","Magic Sleazeball Corrida","Vinyl 7-inch","verified","https://skinnypeachfuzz.bandcamp.com/album/magic-sleazeball-corrida-2","4187846981","https://bandcamp.com/EmbeddedPlayer/album=4187846981/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Magic Sleazeball Corrida | Skinny Peachfuzz","verified","https://tidal.com/album/339426963","Magic Sleazeball Corrida by Skinny Peachfuzz on TIDAL","https://album.link/i/1740416331","https://itunes.apple.com/search?term=Skinny+Peachfuzz&entity=album&limit=200&country=GR","https://skinnypeachfuzz.bandcamp.com/album/magic-sleazeball-corrida-2","2026-09-22",""
"distro","magmarus-cassette-sessions-cassette","Magmarus","Cassette sessions","Tapes","verified","https://magmarus.bandcamp.com/album/cassette-sessions","3066519363","https://bandcamp.com/EmbeddedPlayer/album=3066519363/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","""Cassette Sessions"" | Μάγμαρους","unverified","","","","https://itunes.apple.com/search?term=%CE%9C%CE%AC%CE%B3%CE%BC%CE%B1%CF%81%CE%BF%CF%85%CF%82&entity=album&limit=200&country=GR","https://magmarus.bandcamp.com/album/cassette-sessions","2026-09-22",""
"distro","malammar-mazza-vinyl","Malämmar","Mazza","Vinyl 12-inch","verified","https://malammar.bandcamp.com/album/mazza","840438704","https://bandcamp.com/EmbeddedPlayer/album=840438704/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Mazza | Malämmar","verified","https://tidal.com/album/178021188","Mazza by Malämmar on TIDAL","https://album.link/i/1560912236","https://itunes.apple.com/search?term=Mal%C3%A4mmar&entity=album&limit=200&country=GR","https://malammar.bandcamp.com/album/mazza","2026-09-22",""
"distro","malammar-vendetta-vinyl","Malämmar","Vendetta","Vinyl 12-inch","verified","https://xaviforne.bandcamp.com/album/vendetta-2","3033550679","https://bandcamp.com/EmbeddedPlayer/album=3033550679/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Vendetta | MALÄMMAR | Xavi Forné","verified","https://tidal.com/album/99141964","Vendetta by Malämmar on TIDAL","https://album.link/i/1442882184","https://itunes.apple.com/search?term=MAL%C3%84MMAR&entity=album&limit=200&country=GR","https://xaviforne.bandcamp.com/album/vendetta-2","2026-09-22",""
